,year,raceId,driverId,constructorId,number,grid,position,positionText,points,laps,time,miliseconds,fastestLap,fastestLapSpeed,statusId,fastestLapTime,round
807,2011,Japanese Grand Prix,bruno_senna,renault,,9,16,16,0.0,53,+1:12.628,5526055,42,212.436,Finished,1:38.407,15
808,2011,Japanese Grand Prix,barrichello,williams,,13,17,17,0.0,53,+1:14.191,5527618,53,210.993,Finished,1:39.080,15
809,2011,Japanese Grand Prix,kovalainen,lotus_racing,,18,18,18,0.0,53,+1:27.824,5541251,50,210.532,Finished,1:39.297,15
810,2011,Japanese Grand Prix,trulli,lotus_racing,,19,19,19,0.0,53,+1:36.140,5549567,49,209.973,Finished,1:39.561,15
811,2011,Japanese Grand Prix,glock,virgin,,21,20,20,0.0,51,,,46,205.549,+2 Laps,1:41.704,15
812,2011,Japanese Grand Prix,ambrosio,virgin,,20,21,21,0.0,51,,,45,205.367,+2 Laps,1:41.794,15
813,2011,Japanese Grand Prix,ricciardo,hrt,3,22,22,22,0.0,51,,,49,206.090,+2 Laps,1:41.437,15
814,2011,Japanese Grand Prix,liuzzi,hrt,,24,23,23,0.0,50,,,37,204.134,+3 Laps,1:42.409,15
815,2011,Japanese Grand Prix,buemi,toro_rosso,,15,24,R,0.0,11,,,6,204.738,Wheel,1:42.107,15
816,2011,Korean Grand Prix,vettel,red_bull,5,2,1,1,25.0,55,1:38:01.994,5881994,55,202.941,Finished,1:39.605,16
817,2011,Korean Grand Prix,hamilton,mclaren,44,1,2,2,18.0,55,+12.019,5894013,54,201.216,Finished,1:40.459,16
818,2011,Korean Grand Prix,webber,red_bull,,4,3,3,15.0,55,+12.477,5894471,55,201.547,Finished,1:40.294,16
819,2011,Korean Grand Prix,button,mclaren,22,3,4,4,12.0,55,+14.694,5896688,55,200.716,Finished,1:40.709,16
820,2011,Korean Grand Prix,alonso,ferrari,14,6,5,5,10.0,55,+15.689,5897683,41,201.040,Finished,1:40.547,16
821,2011,Korean Grand Prix,massa,ferrari,19,5,6,6,8.0,55,+25.133,5907127,51,201.052,Finished,1:40.541,16
822,2011,Korean Grand Prix,alguersuari,toro_rosso,,11,7,7,6.0,55,+49.538,5931532,55,200.257,Finished,1:40.940,16
823,2011,Korean Grand Prix,rosberg,mercedes,6,7,8,8,4.0,55,+54.053,5936047,49,198.624,Finished,1:41.770,16
824,2011,Korean Grand Prix,buemi,toro_rosso,,13,9,9,2.0,55,+1:02.762,5944756,50,201.060,Finished,1:40.537,16
825,2011,Korean Grand Prix,resta,force_india,,9,10,10,1.0,55,+1:08.602,5950596,50,197.978,Finished,1:42.102,16
826,2011,Korean Grand Prix,sutil,force_india,99,10,11,11,0.0,55,+1:11.229,5953223,49,198.149,Finished,1:42.014,16
827,2011,Korean Grand Prix,barrichello,williams,,18,12,12,0.0,55,+1:33.068,5975062,54,197.458,Finished,1:42.371,16
828,2011,Korean Grand Prix,bruno_senna,renault,,15,13,13,0.0,54,,,41,197.115,+1 Lap,1:42.549,16
829,2011,Korean Grand Prix,kovalainen,lotus_racing,,19,14,14,0.0,54,,,52,197.294,+1 Lap,1:42.456,16
830,2011,Korean Grand Prix,kobayashi,sauber,10,14,15,15,0.0,54,,,45,198.021,+1 Lap,1:42.080,16
831,2011,Korean Grand Prix,perez,sauber,11,17,16,16,0.0,54,,,39,197.354,+1 Lap,1:42.425,16
832,2011,Korean Grand Prix,trulli,lotus_racing,,20,17,17,0.0,54,,,46,196.235,+1 Lap,1:43.009,16
833,2011,Korean Grand Prix,glock,virgin,,21,18,18,0.0,54,,,53,193.368,+1 Lap,1:44.536,16
834,2011,Korean Grand Prix,ricciardo,hrt,3,24,19,19,0.0,54,,,53,192.752,+1 Lap,1:44.870,16
835,2011,Korean Grand Prix,ambrosio,virgin,,22,20,20,0.0,54,,,53,192.981,+1 Lap,1:44.746,16
836,2011,Korean Grand Prix,liuzzi,hrt,,23,21,21,0.0,52,,,45,190.387,+3 Laps,1:46.173,16
837,2011,Korean Grand Prix,maldonado,williams,13,16,22,R,0.0,30,,,26,193.086,Clutch,1:44.689,16
838,2011,Korean Grand Prix,petrov,renault,,8,23,R,0.0,16,,,10,191.658,Collision,1:45.469,16
839,2011,Korean Grand Prix,michael_schumacher,mercedes,,12,24,R,0.0,15,,,13,191.916,Collision,1:45.327,16
840,2011,Indian Grand Prix,vettel,red_bull,5,1,1,1,25.0,60,1:30:35.002,5435002,60,211.463,Finished,1:27.249,17
841,2011,Indian Grand Prix,button,mclaren,22,4,2,2,18.0,60,+8.433,5443435,60,209.737,Finished,1:27.967,17
842,2011,Indian Grand Prix,alonso,ferrari,14,3,3,3,15.0,60,+24.301,5459303,58,209.771,Finished,1:27.953,17
843,2011,Indian Grand Prix,webber,red_bull,,2,4,4,12.0,60,+25.529,5460531,59,210.808,Finished,1:27.520,17
844,2011,Indian Grand Prix,michael_schumacher,mercedes,,11,5,5,10.0,60,+1:05.421,5500423,48,208.359,Finished,1:28.549,17
