year,round,raceId,constructorId,statusId,points
2021,18,Mexico City Grand Prix,alpine,+1 Lap,2.0
2021,18,Mexico City Grand Prix,aston_martin,+1 Lap,6.0
2021,18,Mexico City Grand Prix,aston_martin,+2 Laps,0.0
2021,18,Mexico City Grand Prix,ferrari,+1 Lap,8.0
2021,18,Mexico City Grand Prix,ferrari,Finished,10.0
2021,18,Mexico City Grand Prix,haas,+3 Laps,0.0
2021,18,Mexico City Grand Prix,haas,Collision,0.0
2021,18,Mexico City Grand Prix,mclaren,+1 Lap,1.0
2021,18,Mexico City Grand Prix,mercedes,+2 Laps,0.0
2021,18,Mexico City Grand Prix,mercedes,Finished,18.0
2021,18,Mexico City Grand Prix,red_bull,Finished,40.0
2021,18,Mexico City Grand Prix,williams,+2 Laps,0.0
2021,19,São Paulo Grand Prix,alfa,+1 Lap,0.0
2021,19,São Paulo Grand Prix,alphatauri,+1 Lap,6.0
2021,19,São Paulo Grand Prix,alpine,+1 Lap,6.0
2021,19,São Paulo Grand Prix,aston_martin,+1 Lap,0.0
2021,19,São Paulo Grand Prix,aston_martin,Collision damage,0.0
2021,19,São Paulo Grand Prix,ferrari,Finished,18.0
2021,19,São Paulo Grand Prix,haas,+2 Laps,0.0
2021,19,São Paulo Grand Prix,mclaren,+1 Lap,1.0
2021,19,São Paulo Grand Prix,mclaren,Power loss,0.0
2021,19,São Paulo Grand Prix,mercedes,Finished,40.0
2021,19,São Paulo Grand Prix,red_bull,Finished,31.0
2021,19,São Paulo Grand Prix,williams,+1 Lap,0.0
2021,20,Qatar Grand Prix,alfa,+1 Lap,0.0
2021,20,Qatar Grand Prix,alphatauri,+1 Lap,0.0
2021,20,Qatar Grand Prix,alpine,Finished,25.0
2021,20,Qatar Grand Prix,aston_martin,+1 Lap,1.0
2021,20,Qatar Grand Prix,aston_martin,Finished,8.0
2021,20,Qatar Grand Prix,ferrari,Finished,10.0
2021,20,Qatar Grand Prix,haas,+1 Lap,0.0
2021,20,Qatar Grand Prix,haas,+2 Laps,0.0
2021,20,Qatar Grand Prix,mclaren,+1 Lap,2.0
2021,20,Qatar Grand Prix,mercedes,Damage,0.0
2021,20,Qatar Grand Prix,mercedes,Finished,25.0
2021,20,Qatar Grand Prix,red_bull,Finished,31.0
2021,20,Qatar Grand Prix,williams,+2 Laps,0.0
2021,20,Qatar Grand Prix,williams,Puncture,0.0
